date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:42:04	106631/106631	---MCZ	200	added ('OK')	text/html	etag:W/%22659e4918-1a087%22	https://new.axilthemes.com/demo/template/tropica/index.html	D:/Software/Clone%20Website/new.axilthemes.com/demo/template/tropica/index.html	(from )
22:42:05	22/22	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jan%202024%2017:12:03%20GMT	https://new.axilthemes.com/robots.txt		(from )
22:42:05	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%22659d3f3a-47e%22	https://new.axilthemes.com/demo/template/tropica/icon/favicon.ico	D:/Software/Clone%20Website/new.axilthemes.com/demo/template/tropica/icon/favicon.ico	(from https://new.axilthemes.com/demo/template/tropica/index.html)
22:42:05	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%22659d3f3a-7918%22	https://new.axilthemes.com/demo/template/tropica/css/font-awesome.min.css	D:/Software/Clone%20Website/new.axilthemes.com/demo/template/tropica/css/font-awesome.min.css	(from https://new.axilthemes.com/demo/template/tropica/index.html)
22:42:06	21836/21836	---MCZ	200	added ('OK')	text/css	etag:W/%22659d3f3a-554c%22	https://new.axilthemes.com/demo/template/tropica/css/tropica-caviar-icons.css	D:/Software/Clone%20Website/new.axilthemes.com/demo/template/tropica/css/tropica-caviar-icons.css	(from https://new.axilthemes.com/demo/template/tropica/index.html)
22:42:06	1776/1776	---M--	200	added ('OK')	text/css	etag:%22659d3f3a-6f0%22	https://new.axilthemes.com/demo/template/tropica/css/vendor/slick.css	D:/Software/Clone%20Website/new.axilthemes.com/demo/template/tropica/css/vendor/slick.css	(from https://new.axilthemes.com/demo/template/tropica/index.html)
22:42:06	232855/232855	---MCZ	200	added ('OK')	text/css	etag:W/%22659e4918-38d97%22	https://new.axilthemes.com/demo/template/tropica/css/vendor/bootstrap.min.css	D:/Software/Clone%20Website/new.axilthemes.com/demo/template/tropica/css/vendor/bootstrap.min.css	(from https://new.axilthemes.com/demo/template/tropica/index.html)
22:42:06	2723/2723	---M--	200	added ('OK')	text/css	etag:%22659d3f3a-aa3%22	https://new.axilthemes.com/demo/template/tropica/css/vendor/slick-theme.css	D:/Software/Clone%20Website/new.axilthemes.com/demo/template/tropica/css/vendor/slick-theme.css	(from https://new.axilthemes.com/demo/template/tropica/index.html)
22:42:07	6951/6951	---M--	200	added ('OK')	text/css	etag:%22659d3f3a-1b27%22	https://new.axilthemes.com/demo/template/tropica/css/vendor/magnific-popup.css	D:/Software/Clone%20Website/new.axilthemes.com/demo/template/tropica/css/vendor/magnific-popup.css	(from https://new.axilthemes.com/demo/template/tropica/index.html)
22:42:07	110113/110113	---MCZ	200	added ('OK')	text/css	etag:W/%22659e4921-1ae21%22	https://new.axilthemes.com/demo/template/tropica/css/main.css	D:/Software/Clone%20Website/new.axilthemes.com/demo/template/tropica/css/main.css	(from https://new.axilthemes.com/demo/template/tropica/index.html)
22:42:07	2107/2107	---M--	200	added ('OK')	text/css	etag:%22659d3f3a-83b%22	https://new.axilthemes.com/demo/template/tropica/switcher/my_switcher.css	D:/Software/Clone%20Website/new.axilthemes.com/demo/template/tropica/switcher/my_switcher.css	(from https://new.axilthemes.com/demo/template/tropica/index.html)
22:42:08	25544/25544	---MCZ	200	added ('OK')	text/css	etag:W/%22659e4921-63c8%22	https://new.axilthemes.com/demo/template/tropica/css/responsive.css	D:/Software/Clone%20Website/new.axilthemes.com/demo/template/tropica/css/responsive.css	(from https://new.axilthemes.com/demo/template/tropica/index.html)
22:42:08	104674/104674	---MCZ	200	added ('OK')	text/html	etag:W/%22659e4918-198e2%22	https://new.axilthemes.com/demo/template/tropica/banner-with-search.html	D:/Software/Clone%20Website/new.axilthemes.com/demo/template/tropica/banner-with-search.html	(from https://new.axilthemes.com/demo/template/tropica/index.html)
